NED_id,class,ra,dec,zdist,D,F1400,F843,Fsyn,Lsyn,Pcav,L151,Ljet,Lcr,Fcr,Rmax
NGC 1052,p,40.26999,-8.25583,0.004970502574,20.5018498448,912.5,0.0,1054.56677266,38.7659645007095,42.89960314405959,38.42099820556348,41.48607214521693,40.942004100866654,1.7398309390451702e-12,17.79745803154335
NGC 1044 NED01,j,40.27572,8.73801,0.0215023116396,91.0116316204,1467.7,0.0,1696.20564629,40.2669766255478,43.9503116314464,39.922010330401775,42.821972936323014,42.27790489197274,1.913375183744962e-12,18.465408427096392
NGC 1068,g,40.66988,-0.01329,0.0037218015641,15.5432297457,4848.1,0.0,5602.89881703,39.250799632797644,43.23898773652129,38.90583333765162,41.91757541277538,41.3735073684251,8.17549168500048e-12,18.013209665322574
4C +10.08,j,41.30619,10.78969,0.0731644710345,321.470068868,417.4,0.0,482.384844832,40.81697906197721,44.33531333694698,40.472012766831185,43.311475104745185,42.76740706039491,4.733855743759375e-13,18.71015951130748
NGC 1084,g,41.49969,-7.57864,0.00457421597093,19.5978143095,315.3,0.0,364.388935255,38.26528477824207,42.54912733833238,37.92031848309605,41.040467192220916,40.49639914787064,6.824532662142594e-13,17.574655555045343
2MASX J02460054+5115142,p,41.5022,51.25399,0.036278157362,155.247052549,223.5,0.0,258.296628701,39.91346978540522,43.70285684334659,39.5685034902592,42.507351848596116,41.96328380424584,3.1865895131151564e-13,18.308097883232943
NGC 1097,g,41.57941,-30.27491,0.00448762718588,18.5999941212,413.4,361.5,477.762086376,38.3375416169229,42.59970712540897,37.992575321776876,41.104775778646854,40.56070773429658,8.785594731391843e-13,17.60680984825831
PKS 0247-207,j,42.39305,-20.50928,0.0909674478637,404.617823983,1020.6,0.0,1179.49681992,41.40509111499621,44.746991774060284,41.06012481985019,43.8348948319321,43.29082678758182,9.97299985762398e-13,18.971869374900937
IC 0260,j,42.75365,46.95485,0.0301677923176,128.51773372,765.8,0.0,885.027106306,40.28418700994194,43.9623589005223,39.939220714795916,42.8372901784338,42.29322213408352,9.939969742787206e-13,18.473067048151783
NGC 1128 NED02,j,44.4232,6.02693,0.0228091841199,96.6378446352,5967.8,0.0,6896.92447769,40.92825426101246,44.41320597627166,40.58328796586644,43.41051003188657,42.86644198753629,6.58016165240455e-12,18.759676974878168
2MASX J02581124-5243419,u,44.54688,-52.72832,0.0751847169421,330.811233921,0.0,405.2,345.406392098,40.69679518919718,44.25118462600096,40.35182889405116,43.204511457970966,42.66044341362069,3.4943947221113514e-13,18.656677687920368
PKS 0257-398,j,44.86129,-39.67713,0.0682932593861,299.046780926,984.8,1552.0,1322.97808622,41.192335234679895,44.59806265783887,40.84736893953387,43.645542098450576,43.1014740541003,1.1805512244120834e-12,18.877193008160177
PKS 0258-520,j,45.10657,-51.84696,0.0754670234614,332.118489264,0.0,681.7,581.104485422,40.92614465557497,44.41172925246542,40.58117836042895,43.4086324830472,42.864564438696924,5.547117646473737e-13,18.758738200458485
NGC 1167,p,45.42646,35.20563,0.0176402907819,74.4482664277,1843.0,0.0,2129.93595837,40.191380044741344,43.897394024881876,39.84641374959532,42.754691979405266,42.21062393505499,2.449084680897693e-12,18.43176794863752
UGC 02489 NED02,j,45.46454,35.84118,0.0497821545326,215.139001782,759.7,0.0,877.977399661,40.72822595557235,44.27318616246358,40.383259660426326,43.23248484004486,42.688416795694586,8.811859070353209e-13,18.670664378957316
2MASX J03031501+1626188,j,45.81257,16.43858,0.0335680339235,143.363138439,3114.8,0.0,3599.7420093,40.98845069633867,44.45534348100001,40.643484401192644,43.46408485932689,42.92001681497661,3.382445914416249e-12,18.78646438859833
PKS 0304-12,j,46.71954,-12.10655,0.0822884177231,363.849418577,1383.6,0.0,1599.01214976,41.444999454597244,44.77492761178101,41.10003315945122,43.87041325417702,43.32634520982675,1.3384152760853694e-12,18.989628586023397
NGC 1218,j,47.10933,4.11083,0.0294344221401,125.32531159,7568.8,0.0,8747.1835495,41.257250146302475,44.64350309597467,40.91228385115645,43.70331636979468,43.1592483254444,7.678206445035171e-12,18.906080143832224
2MASX J03101413+4249449,j,47.55898,42.82915,0.0301017197187,128.229976355,1201.6,0.0,1388.67664003,40.477884574754206,44.09794719589088,40.132918279608184,43.00968101111672,42.46561296676644,1.4849878076296489e-12,18.559262464493244
2MASX J03143297-3407398,p,48.63732,-34.12777,0.0694678610116,304.440761927,465.5,654.2,557.662541239,40.832681394248084,44.3463049695366,40.48771509910206,43.32545018046627,42.781382136115994,5.450866947512693e-13,18.71714704916802
PKS 0314-440,p,49.16389,-43.85472,0.063746845854,278.246838211,0.0,2017.0,1719.36005148,41.24353162837665,44.63390013342659,40.89856533323063,43.69110688884069,43.14703884449042,1.5144935007319033e-12,18.89997540335523
